relative_path
MedicalExpert-I/0Normal/NormalG0 (294).png
MedicalExpert-I/1Doubtful/DoubtfulG1 (386).png
MedicalExpert-I/1Doubtful/DoubtfulG1 (453).png
MedicalExpert-I/1Doubtful/DoubtfulG1 (76).png
MedicalExpert-I/2Mild/MildG2 (110).png
MedicalExpert-I/2Mild/MildG2 (211).png
MedicalExpert-I/2Mild/MildG2 (213).png
MedicalExpert-I/2Mild/MildG2 (74).png
MedicalExpert-I/2Mild/MildG2 (79).png
MedicalExpert-I/3Moderate/ModerateG3 (206).png
MedicalExpert-I/3Moderate/ModerateG3 (207).png
MedicalExpert-I/3Moderate/ModerateG3 (208).png
MedicalExpert-I/3Moderate/ModerateG3 (210).png
MedicalExpert-I/3Moderate/ModerateG3 (217).png
MedicalExpert-I/3Moderate/ModerateG3 (46).png
MedicalExpert-I/3Moderate/ModerateG3 (48).png
MedicalExpert-I/3Moderate/ModerateG3 (89).png
MedicalExpert-II/0Normal/NormalG0 (294).png
MedicalExpert-II/1Doubtful/DoubtfulG1 (392).png
MedicalExpert-II/1Doubtful/DoubtfulG1 (459).png
MedicalExpert-II/1Doubtful/DoubtfulG1 (82).png
MedicalExpert-II/2Mild/MildG2 (110).png
MedicalExpert-II/2Mild/MildG2 (211).png
MedicalExpert-II/2Mild/MildG2 (213).png
MedicalExpert-II/2Mild/MildG2 (74).png
MedicalExpert-II/2Mild/MildG2 (79).png
MedicalExpert-II/3Moderate/ModerateG3 (206).png
MedicalExpert-II/3Moderate/ModerateG3 (207).png
MedicalExpert-II/3Moderate/ModerateG3 (208).png
MedicalExpert-II/3Moderate/ModerateG3 (210).png
MedicalExpert-II/3Moderate/ModerateG3 (217).png
MedicalExpert-II/3Moderate/ModerateG3 (46).png
MedicalExpert-II/3Moderate/ModerateG3 (48).png
MedicalExpert-II/3Moderate/ModerateG3 (89).png
